BIO_REGION_ID|ECO_REGION|ECO_REGION_DESCRIPTION|ECO_REGION_ID
AT19|Guinean Montane Forests|This ecoregion consists of an array of peaks and plateaus at high elevations that are distinguishable against a backdrop of surrounding lowland forests and savannas.|14
AT19|Eastern Guinean Forests|This ecoregion extends from the east banks of the Sassandra River in western Côte d’Ivoire to the edge of Lake Volta in Ghana.|11
AT19|Guinean Mangroves|The Guinean Mangroves are located in western Africa, and encompass mangrove stands along the coastlines of Senegal, Gambia, Guinea-Bissau, Guinea, Sierra Leone, Liberia, and Côte d’Ivoire. |113
AT19|Jos Plateau Forest-Grassland|This ecoregion rises above the surrounding forest-grassland and savanna ecoregions of northern Nigeria. |82
AT19|Guinean Forest-Savanna|This ecoregion runs east to west across West Africa, reaching the coast at the Dahomey Gap, a narrow strip of semi-arid habitats in eastern Ghana and Benin.|44
AT19|Central African Mangroves|This ecoregion is located in western Africa, and the structure of the mangrove areas varies considerably, from the lagoon systems to systems modified by complex patterns of sediment deposition. |111
AT17|Mount Cameroon and Bioko Montane Forests|This ecoregion occupies the higher elevations of Mount Cameroon on the African mainland and Bioko Island just offshore.|21
AT17|Cross-Sanaga-Bioko Coastal Forests|This ecoregion extends from the Cross River in southeastern Nigeria, follows the coast as far south as the Sanaga River in Cameroon, and extends inland up to 300 km|7
AT17|São Tomé, Príncipe, and Annobón Forests|This ecoregion covers the three volcanic islands of Príncipe, São Tomé, and Annobon in the Gulf of Guinea, off the west coast of central Africa.|27
AT17|Nigerian Lowland Forests|This ecoregion is confined to a narrow, gently undulating coastal plain of 150 m altitude, along the coast in the southwest of Nigeria.|23
AT17|Niger Delta Swamp Forests|This ecoregion forms a triangle bordered by the town of Aboh at the northernmost tip, the Benin River along the western boundary, and the Imo River along the eastern boundary.|22
AT17|Cross-Niger Transition Forests|This ecoregion is found in southern Nigeria and most of its relief is low and undulating with few notable topographic features. |6
AT17|Congolian Coastal Forests|This ecoregion extends from the Sanaga River in west central Cameroon, south through Equatorial Guinea into the coastal and inland areas of Gabon, the Republic of Congo, and the Cabinda Province of Angola.|5
AT17|Central African Mangroves|This ecoregion is located in western Africa, and the structure of the mangrove areas varies considerably, from the lagoon systems to systems modified by complex patterns of sediment deposition. |111
AT16|Northern Congolian Forest-Savanna|This ecoregion extends from the Cameroon Highlands east through the Central African Republic, northeastern Democratic Republic of Congo (DRC), South Sudan, and into a sliver of northwestern Uganda.|52
AT16|Cameroon Highlands Forests|These highland forests cover the mountains of the border region between Nigeria and Cameroon, excluding Mount Cameroon. |2
AT15|Northwest Congolian Lowland Forests|This ecoregion stretches across four countries—Cameroon, Gabon, Republic of Congo, and the Central African Republic (CAR).|26
AT15|Northeast Congolian Lowland Forests|These lowland forests, nestled between the Albertine Rift Mountains in the east, the transitional savannah to the north, and the Congo River and its tributaries in the south and west, are teeming with life.|24
AT14|Central Congolian Lowland Forests|This ecoregion lies in the central part of the Congo Basin, south of the wide arc formed by the Congo River.|3
AT14|Western Congolian Swamp Forests|This ecoregion consists of dense swamp forests growing extensively along the meandering tributaries of the Congo River.|29
AT14|Eastern Congolian Swamp Forests|This ecoregion, combined with the neighbouring Western Congolian Swamp Forests, comprises one of the largest swamp forests in the world.|10
AT13|Western Congolian Forest-Savanna|This ecoregion covers the dissected plateaus bordering the lower Congo River, as it flows through the Democratic Republic of Congo (DRC), Republic of Congo, and northern Angola.|63
AT13|Southern Congolian Forest-Savanna|The ecoregion covers much of south central Democratic Republic of Congo (DRC) and the northeast corner of Angola.|58
AT12|Rwenzori-Virunga Montane Moorlands|The ‘Mountains of the Moon’, otherwise known as the Rwenzori mountain range, extends up to 5,108 m at the Margherita summit, Africa’s third tallest peak after Mount Kilimanjaro and Mount Kenya.|86
AT12|Victoria Basin Forest-Savanna|Centered on Lake Victoria, the ecoregion encompasses most of south-central Uganda, the eastern half of Rwanda and extends marginally into Tanzania, Burundi, Democratic Republic of Congo (DRC), and Kenya.|61
AT12|Albertine Rift Montane Forests|The Albertine Rift Montane Forests contain the highest levels of faunal endemism in Africa and harbors the mountain gorilla, one of the rarest animals in Africa.|1
AT11|Southern Rift Montane Forest-Grassland|This ecoregion consists of mountain chains around the western and northern shores of Lake Malawi/Nyasa, and extends to the eastern ranges of Lake Tanganyika. |87
AT11|Nyanga-Chimanimani Montane Forest-Grassland|This ecoregion covers the mountains that extend along the border between Zimbabwe and Mozambique.|85
AT11|Mulanje Montane Forest-Grassland|This ecoregion is situated at the southern end of Malawi about 100 km south of Lake Malawi. |84
AT11|Angolan Montane Forest-Grassland|This ecoregion comprises a number of small montane forest patches surrounded by grasslands and Protea savanna in the west-central highlands of Angola.|77
AT11|Zambezian Flooded Grasslands|Embedded predominantly within miombo and mopane woodlands, the ecoregion occurs as isolated patches from northern Botswana in the south, to Tanzania in the north.|76
AT11|Makgadikgadi Halophytics|This ecoregion covers the Makgadikgadi Pan complex in northeastern Botswana which contains two major pans, Ntwetwe Pan and Sua Pan, surrounded by a number of smaller pans.|73
AT11|Etosha Pan Halophytics|Situated within Etosha National Park, Namibia, the large saline depression is the remnant of a large, inland Pliocene lake and is the largest pan system in Namibia.|70
AT11|East African Halophytics|This ecoregion encompass saline (soda) lakes, including Lake Natron, Lake Eyasi, and Lake Manyara, situated in the eastern arm of the Rift Valley in Tanzania as well as Lake Magadi in Kenya.|69
AT11|Zambezian-Limpopo Mixed Woodlands|The Zambezian-Limpopo mixed woodlands are widespread in the lower-lying areas of eastern southern Africa.|66
AT11|Zambezian Mopane Woodlands|This ecoregion is one of the most important areas for large mammal diversity and biomass in southern Africa, including some of the most significant remaining populations of black rhinoceros and elephants.|65
AT11|Zambezian Baikiaea Woodlands|This ecoregion is a mosaic of Zambesi Redwood dominated forest, woodland, thicket, and secondary grasslands, which lies on deep Kalahari sands in a wide belt along the Angolan-Namibian border across to Zimbabwe. |64
AT11|Southern Acacia-Commiphora Bushlands and Thickets|This ecoregion is located in north central Tanzania, and extends into southwestern Kenya on the eastern margins of Lake Victoria. |57
AT11|Itigi-Sumbu Thicket|Stands of thicket occur in Tanzania close to its namesake town of Itigi near Dodoma, and also in Zambia between Lakes Mweru Wantipa and Tanganyika.|46
AT11|Dry Miombo Woodlands|This ecoregion includes parts of Tanzania, Mozambique,  Malawi, as well as extending across the Central African Plateau over central Zimbabwe and southern Zambia, and a large area of southwestern Angola.|42
AT11|Central Zambezian Wet Miombo Woodlands|This ecoregion covers about central and northern Zambia, the southeastern DRC, western Malawi, western Tanzania, and parts of Burundi and northeastern Angola. |39
AT11|Angolan Wet Miombo Woodlands|This ecoregion covers all of central Angola and extends into the Democratic Republic of Congo (DRC) and is mostly found at elevations between 1,000 and 1,500 m above sea level, including the highlands of Huíla, Huambo, and Bié. |36
AT11|Angolan Mopane Woodlands|This ecoregion lies on the western edge of the Central African Plateau, at around 1,000 m in elevation along the Owambo Basin.|34
AT11|Zambezian Evergreen Dry Forests|The ecoregion’s forests are found at 1,100 to 1,200 m elevation in the higher rainfall areas of the Kalahari sands of northern Barotseland in western Zambia, and extend into Angola. |33
AT11|Eastern Arc Forests|This ecoregion is comprised of thirteen mountain blocks including the Taita Hills, the North and South Pare, the East and West Usambara, the North and South Nguru, the Ukaguru, the Uluguru, the Rubeho, and the Udzungwa. |9
AT11|Angolan Scarp Savanna and Woodlands|This ecoregion comprises a long narrow strip of land between the Atlantic Ocean, the southwest arid biome of Angola and the top of the scarp face of the Central African Plateau.|35
AT4|Mascarene Forests|The Mascarene Islands are located 640 to 1,450 km east of Madagascar in the western Indian Ocean. |20
AT3|Amsterdam-Saint Paul Islands Temperate Grasslands|Amsterdam and Saint-Paul are Subantarctic volcanic islands in the southern Indian Ocean, located approximately 80 km from each other.|67
AT7|Southern Africa Mangroves|The Southern Africa Mangroves line parts of the eastern South African and southernmost Mozambique coastline along the Indian Ocean.|116
AT7|East African Mangroves|East African mangroves are found in Mozambique, Tanzania, Kenya, and southern Somalia. |112
AT7|Zambezian Coastal Flooded Savanna|This ecoregion is restricted to the coastal regions of Mozambique, and essentially comprises the floodplain deltas of the Zambezi, Pungwe, Buzi, and Save Rivers.|75
AT7|Southern Swahili Coastal Forests and Woodlands|This ecoregion runs approximately 2,200 km along the eastern coast of Africa, from the Lukuledi River in southern Tanzania to the Changane River just south of Xai-Xai.|28
AT7|Northern Swahili Coastal Forests|This ecoregion ranges from coastal Somalia to southern Tanzania. Outliers are found at the base of the Uluguru, Nguru, and Udzungwa Eastern Arc Mountains, and on the islands of Pemba, Unguja (Zanzibar), and Mafia.|25
AT7|Maputaland Coastal Forests and Woodlands|This ecoregion extends from the Changane River in southern Mozambique to the Umfolosi River just north of Cape Saint Lucia in South Africa. |19
AT7|Kwazulu Natal-Cape Coastal Forests|This ecoregion extends south along the eastern South African coastline from Cape St Lucia to Cape St Francis.|16
AT6|Madagascar Mangroves|This ecoregion contains mangrove forests found primarily along the western coast.|114
AT6|Madagascar Succulent Woodlands|This ecoregion is located in southwestern and central western Madagascar, sandwiched between the Madagascar Spiny Thickets and the Madagascar Dry Deciduous Forests.|100
AT6|Madagascar Spiny Thickets|This ecoregion extends across southern and southwestern Madagascar from the Mangoky River on the west coast to the western slopes of the Anosyennes Mountain chain in the southeast. |99
AT6|Ile Europa and Bassas Da India Xeric Scrub|The islands of Europa and Bassas da India lie in the Mozambique Channel near the southern end of Madagascar.|96
AT6|Madagascar Ericoid Thickets|This ecoregion includes the ericoid thicket habitats found above approximately 1,800 m on the upper slopes of Madagascar’s four major massifs: Tsaratanana, Marojejy, Ankaratra, and Andringitra.|83
AT6|Madagascar Dry Deciduous Forests|This ecoregion occurs in two separate geographic regions. The first is on the western side of Madagascar from the Ampasindava Peninsula in the north to Belo-sur-Tsiribihina and Maromandia in the south.|32
AT6|Madagascar Subhumid Forests|This ecoregion is located in the highlands of Madagascar in between the humid forests at the crest of the eastern escarpment and the dry deciduous forests on the western boundary.|18
AT6|Madagascar Humid Forests|This ecoregion occupies the eastern side of Madagascar, including the littoral forests of the narrow coastal plain and up to the crest of the eastern escarpment around 1,200 – 1,600 m.|17
AT5|Granitic Seychelles Forests|The 115 islands making up the Seychelles are located in the Indian Ocean, about 930 km northeast of Madagascar. |13
AT5|Comoros Forests|This ecoregion covers the Comoros Islands which are found approximately 300 km from northern Madagascar and about 300 km from the mainland of East Africa. |4
AT5|Aldabra Island Xeric Scrub|This ecoregion occupies the island of Aldabra, one of the largest atolls in the world. |91
AT23|Lake Chad Flooded Savanna|This ecoregion includes Lake Chad and the nearby Hadejia-Nguru wetlands. Lake Chad straddles the borders between four African countries: Cameroon, Chad, Niger, and Nigeria. |72
AT23|Sahelian Acacia Savanna|This ecoregion stretches across Africa from northern Senegal and Mauritania on the Atlantic coast to Sudan and Eritrea on the Red Sea. |53
AT23|Inner Niger Delta Flooded Savanna|This ecoregion contains the inland delta of the Niger River in central Mali between Djenné in the south and Tombouctou in the north. |71
AT22|Southwest Arabian Highland Xeric Scrub|This ecoregion is situated in the high altitude plains of the southwestern Arabian highlands including part of Saudi Arabia and the western highlands of Yemen. |109
AT22|Southwest Arabian Escarpment Shrublands and Woodlands|This ecoregion is situated in the southwestern Arabian highlands and includes part of the Asir Mountains of Saudi Arabia and most of the western highlands of Yemen.|108
AT22|Southwest Arabian Coastal Xeric Shrublands|The western side of the Asir Mountains and Yemen highlands drop sharply to a low, flat coastal plain, the Tihamah, where this ecoregion is found.|107
AT22|Socotra Island Xeric Shrublands|The ecoregion covers a small archipelago of islands east of the Horn of Africa and south of the Arabian Coast. |105
AT22|Eritrean Coastal Desert|The Eritrean Coastal Desert runs along the southern coast of the Red Sea from Balfair Assoli in Eritrea to Ras Bir near Obock in Djibouti.|93
AT22|Djibouti Xeric Shrublands|This ecoregion extends from the Sudanese-Eritrean border, south through Ethiopia to Djibouti, and eastwards into Somalia—in the Somaliland region of the country, as well as extending into the center of Ethiopia. |92
AT22|Southwest Arabian Montane Woodlands and Grasslands|This ecoregion is situated in the southwestern Arabian highlands above 2,000 m.|59
AT22|South Arabian Fog Woodlands, Shrublands, and Dune|This ecoregion covers much of the south eastern coasts of the Arabian Peninsula.|56
AT22|Red Sea Mangroves|This ecoregion consists of small scattered patches of mangrove stands along the Red Sea coast in Djibouti, Northern Somalia, Sudan, Egypt, Yemen, Saudi Arabia, and Eritrea.|115
AT22|Somali Montane Xeric Woodlands|The ecoregion stretches along the coast of Somalia through the regions of Somaliland and Puntland.|106
AT22|Hobyo Grasslands and Shrublands|This ecoregion covers a long, narrow coastal strip in Somalia, extending from just south of Mogadishu near the town of Merka northwards to 250 km north of Hobyo.|95
AT22|Horn of Africa Xeric Bushlands|This ecoregion occupies the majority of the Horn of Africa.|45
AT21|East African Montane Moorlands|This ecoregion occupies the peaks of large mountains close to the equator in Kenya, northernmost Tanzania, and the border area between Kenya and Uganda.|78
AT21|Somali Acacia-Commiphora Bushlands and Thickets|This ecoregion occupies the majority of the Horn of Africa to the east of the Ethiopian Highlands, including the Ogaden Desert and northeast Kenyan semi-deserts.|55
AT21|East African Montane Forests|This ecoregion encompasses moderate to high altitude habitats along a chain of isolated mountains flanking the Rift Valley.|8
AT21|Jos Plateau Forest-Grassland|This ecoregion rises above the surrounding forest-grassland and savanna ecoregions of northern Nigeria. |82
AT21|Ethiopian Montane Moorlands|This ecoregion covers the higher parts of the Ethiopian Highlands Massif, from 3,000 m to over 4,500 m. |80
AT21|Ethiopian Montane Grasslands and Woodlands|This ecoregion covers the majority of two Ethiopian Mountain massifs ranging from 1,800 to 3,000 m in elevation.|79
AT21|Sudd Flooded Grasslands|This ecoregion is located in South Sudan and comprises one of the largest swamps in Africa and is also one of the largest floodplain wetlands in the world—about 600 km long and a similar distance wide. |74
AT21|Masai Xeric Grasslands and Shrublands|This ecoregion is located in the northern part of Kenya and extreme southwestern Ethiopia.|50
AT21|Mandara Plateau Woodlands|This ecoregion is located along the border between northeastern Nigeria and northwestern Cameroon.|49
AT21|East Sudanian Savanna|This ecoregion lies south of the Sahel in central and eastern Africa, and is divided into a western block and an eastern block by the Sudd Flooded Grasslands ecoregion.|43
AT21|Ethiopian Montane Forests|The forests that remain on the rugged highlands of Ethiopia support high species richness and endemism.|12
AT21|Northern Acacia-Commiphora Bushlands and Thickets|This ecoregion extends from the southeast corner of Sudan and northeast Uganda, through much of lowland Kenya.|51
AT20|West Sudanian Savanna|This ecoregion stretches across West Africa from Senegal and The Gambia to the eastern border of Nigeria. |62
AT24|Cape Verde Islands Dry Forests|The Cape Verde Islands consist of ten islands and five islets and are located in the eastern Atlantic Ocean approximately 500 km from the coast of Senegal, West Africa.|31
AN3|Southern Indian Ocean Islands Tundra|This ecoregion encompasses five island groups in the southern Indian Ocean (or Southern Ocean): Prince Edward (South Africa), Crozet, Kerguelen (France), and Heard and McDonald Islands (Australia).|133
AN2|South Orkney Islands Tundra|This is the most northerly of all the Antarctic ecoregions, separated from the closest ecoregion by 600 km of water and with a distinctive climate and rich biodiversity. |131
AN2|Scotia Sea Islands Tundra|This ecoregion is made up of several islands across three main groups. These are some of the wildest and most inhospitable islands on Earth.|129
AN2|Northwest Antarctic Peninsula Tundra|This ecoregion is one of the most biologically diverse of all the Antarctic ecoregions. It includes all of the ice-free land on the northern tip and western side of the Antarctic Peninsula. |127
AN2|Northeast Antarctic Peninsula Tundra|This ecoregion is situated on the north-eastern tip of the Antarctic Peninsula and includes parts of Deception Island, parts of Joinville Island, and parts of the mainland Antarctic Peninsula.|126
AN2|Central South Antarctic Peninsula Tundra|This ecoregion sits in the middle of the Antarctic Peninsula, between the Northwest Antarctic Peninsula Tundra and South Antarctic Peninsula Tundra ecoregions.|118
AN2|South Antarctic Peninsula Tundra|This ecoregion is made up of the south-most ice-area area of the Antarctic Peninsula.|130
AN2|Prince Charles Mountains Tundra|This ecoregion contains the ice-free area between the Enderby Land Tundra ecoregion and the western extent of the East Antarctica tundra ecoregion. |128
AN1|North Victoria Land Tundra|This ecoregion is the third largest ecoregion in Antarctica consisting of large areas of connected permanently ice-free land, much of it forming deep valleys and high ridges.|125
AN1|Transantarctic Mountains Tundra|This ecoregion is by the far the largest of all the Antarctic ecoregions, at almost 20,000 km. |134
AN1|South Victoria Land Tundra|This ecoregion has large areas of connected ice-free land, including the Dry Valleys, which are known as one of the most extreme environments on the planet.|132
AN1|Marie Byrd Land Tundra|This ecoregion is one of the most remote and isolated ecoregions on the continent consisting of patchily distributed ice-free land across a relatively broad area.|124
AN1|Enderby Land Tundra|This ecoregion is one of the more coastal ecoregions in Antarctica, consisting of rather patchily distributed permanently ice-free land, particularly along the coastal margins.|123
AN1|Ellsworth Mountains Tundra|This ecoregion are made up of the permanently ice-free land in the mountainous and inhospitable region to the south of the Antarctic Peninsula.|122
AN1|Ellsworth Land Tundra|This ecoregion lies between the Bellingshausen and Amundsen Seas and includes the area traditionally known as Ellsworth Land, Thurston Island, and a number of small offshore islands in the Amundsen Sea.|121
AN1|East Antarctic Tundra|This ecoregion is composed of ice-free patches of land distributed along of the east Antarctic coastline, stretching for over 2,500 km.|120 
AN1|Dronning Maud Land Tundra|This ecoregion is a largely inland system of ice-free areas that are patchily distributed at the western end and tend to be clumped and more connected, with larger ice-free areas, at the eastern end. |119
AN1|Adelie Land Tundra|This is the smallest ecoregion in the Antarctic continental bioregion, comprised of small patches of permanently ice-free land, largely distributed along the coast.|117
AU2|Norfolk Island Subtropical Forests|The Norfolk Island group is situated on a submarine ridge that runs between New Caledonia and the North Island of New Zealand.|147
AU2|Lord Howe Island Subtropical Forests|The Lord Howe Island Group are the remnants of ancient volcanoes, and the main island, Lord Howe Island, is small.|142
AU1|Chatham Island Temperate Forests|The remote Chatham Islands are 800 kilometers east of the South Island of New Zealand. |167
AU1|New Zealand South Island Montane Grasslands|This ecoregion encompasses the Southern Alps, the highest alpine region in New Zealand, with snow and ice fields, as well as a variety of alpine habitats. |194
AU1|Canterbury-Otago Tussock Grasslands|This ecoregion lies in the rain shadow of the Southern Alps.|190
AU1|Westland Temperate Forests|This high rainfall ecoregion covers the narrow lower-elevation forests of New Zealand’s South Island central coast. |180
AU1|Richmond Temperate Forests|The imposing, hand-sized Kaikoura giant weta conotes the great age and isolation of the plants and animals of New Zealand and the Richmond forests. |175
AU1|Rakiura Island Temperate Forests|Rakiura Island (Stewart) just south of the South Island of New Zealand supports one of the most southern temperate rainforests in the world.|174
AU1|Northland Temperate Kauri Forests|Many rare, endemic, and threatened species occur on offshore islands, such as the Three Kings Islands and the Poor Knights Islands.|173
AU1|New Zealand South Island temperate forests|This remains the largest native forest on the east coast of South Island, New Zealand.|172
AU1|New Zealand North Island temperate forests|In the temperate forests of the North Island, dense podocarp and mixed beech/podocarp forests covered lower elevation landscapes. |171
AU1|Nelson Coast Temperate Forests|The temperate rainforests of the Nelson coast are a globally rare habitat type.|170
AU1|Fiordland Temperate Forests|Fiordland at the southwest corner of New Zealand’s South Island is notable for some of the highest levels of endemism of any temperate or alpine area in the world. |169
AU16|Antipodes Subantarctic Islands Tundra|This ecoregion consist of five island groups scattered across the cold, wet, and windy Southern Ocean south of New Zealand and Australia―Bounty Islands, Auckland Islands, Antipodes Islands, Campbell Island, and Macquarie Island.|196
AU15|Timor and Wetar Deciduous Forests|This ecoregion represents the semi-evergreen dry forests of Timor, Wetar, and some smaller islands in the provinces of Nusa Tenggara and Maluku in the eastern Indonesian Archipelago.|166
AU15|Sumba Deciduous Forests|This ecoregion represents the semi-evergreen forests on the island of Sumba, in the eastern Indonesian Archipelago. |165
AU15|Lesser Sundas Deciduous Forests|This ecoregion represents the semi-evergreen dry forests in the Lesser Sunda Islands.|163
AU14|Sulawesi Montane Rainforests|Sulawesi is at the crossroads of Southeast Asia, New Guinea, and Australia, yet its deep water isolation has driven the evolution of numerous unique species. |157
AU14|Sulawesi Lowland Rainforests|The islands are located in the region known as Wallacea, which contains a distinctive fauna representing a mix of Asian and Australasian species. |156
AU14|Seram Rainforests|Located between New Guinea and Southeast Asia, this island supports lineages from both biotas.|151
AU14|Halmahera Rainforests|This ecoregion represents the moist forests on Halmahera, Morotai, Obi, Bacan, and the other nearby Maluku Islands in the northeastern Indonesian Archipelago.|140
AU14|Buru Rainforests|Buru Island is a long-isolated stepping stone for plants and animals between Southeast Asia and New Guinea. |138
AU14|Banda Sea Islands Moist Deciduous Forests|This ecoregion is comprised of several islands scattered along an arc between the large islands of Timor-Leste and Papua New Guinea in the Pacific Ocean.|136
AU13|New Guinea Mangroves|New Guinea's mangroves are among the world’s largest and most intact wetlands, and are found along extensive lengths of its coastline.|217
AU13|Papuan Central Range Sub-Alpine Grasslands|Tall, wet, tropical, and isolated define New Guinea’s Central Range alpine habitats. Puncak Jaya stands as the highest peak in Australasia and the tallest island mountain in the world, capped by Equatorial glaciers. |195
AU13|Trans Fly Savanna and Grasslands|The Trans Fly Savanna and Grasslands ecoregion is one of the most extensive lowlands on the island of New Guinea. |188
AU13|Yapen Rainforests|Yapen lies across Cenderawasih Bay and was once connected to Papua New Guinea.|162
AU13|Vogelkop-Aru Lowland Rainforests|This ecoregion covers the lowland and sub-montane forests, less than 1,000 m in elevation, along the middle of the Bird’s Head (Vogelkop) peninsula, and in Bomberai peninsula, south of the main Bird’s Head peninsula.|161
AU13|Vogelkop Montane Rainforests|The northwestern part of Papua New Guinea is known variously as Vogelkop, Bird’s Head Peninsula, or Burung Kepala in Indonesian, for its bird head shape.|160
AU13|Trobriand Islands Rainforests|This ecoregion lies just off the southeastern tip of Papua New Guinea in the southwest Pacific and includes Woodlark Island and two island groups: the D'Entrecasteaux and the Trobriand.|158
AU13|Southern New Guinea Lowland Rainforests|This ecoregion stretches across the lowland forests south of the Central Cordillera of Indonesian Irian Jaya and Papua New Guinea.|155
AU13|Southern New Guinea Freshwater Swamp Forests|This ecoregion consists of a large extent in south-central New Guinea and a smaller, disjunct patch along the southern coast of the Vogelkop Peninsula in West Papua.|154
AU13|Southeastern Papuan Rainforests|This lowland and montane ecoregion is made up of the Owen Stanley Range and surrounding lowland and coastal areas.|153
AU13|Northern New Guinea Montane Rainforests|This ecoregion is comprised of the Van Rees, Gauttier, Cyclops, Denake, Bewani, Torricelli, Prince Alexander, and Adelbert Ranges. |149
AU13|Northern New Guinea Lowland Rain and Freshwater Swamp Forests|The lowlands of northern New Guinea are a maze of freshwater and peat swamps that interlace tall lowland forests and tall-grass savannas.|148
AU13|New Britain-New Ireland Montane Rainforests|Mossy cloud forests covered in epiphytes top the high mountains of New Britain and New Ireland.|145
AU13|New Britain-New Ireland Lowland Rainforests|The Bismarck Archipelago is dominated by New Britain and New Ireland, though St. Matthias Islands, New Hanover, and many associated islands are also part of the archipelago.|144
AU13|Louisiade Archipelago Rainforests|Located far to the east of the island of New Guinea, the idyllic Louisiade Archipelago supports rain forests with many endemic plants and animals.|143
AU13|Huon Peninsula Montane Rainforests|The climate of this ecoregion is tropical wet, which is characteristic of this part of Melanesia, located in the western Pacific Ocean north of Australia.|141
AU13|Central Range Papuan Montane Rainforests|This ecoregion covers the mountain spine of the island of New Guinea.|139 
AU13|Biak-Numfoor Rainforests|This ecoregion covers Biak and Numfoor islands that stand guard at the entrance of Cenderawasih Bay constricting the western part of Papua New Guinea to form Bird’s Head Peninsula.|137
AU13|Admiralty Islands Lowland Rainforests|This group of remote oceanic islands that comprise the ecoregion are volcanic in origin, dating back to the late Miocene 8 to 10 million years ago. |135
AU11|Vanuatu Rainforests|This ecoregion consists of tropical lowland and montane forests in the island nation of Vanuatu (formerly New Hebrides), with the addition of the Santa Cruz Group, or Temotu Province of the Solomon Islands. |159
AU10|New Caledonia Dry Forests|The dry forests of New Caledonia contain a unique assemblage of plants with 59 endemic species.|164
AU10|New Caledonia Rainforests|The long isolation of this group of South Pacific islands―an errant chunk of ancient Gondwanaland consisting of New Caledonia and Loyalty Islands―has driven the evolution of a biota that is globally distinctive.|146
AU12|Solomon Islands Rainforests|The Solomon Islands are an arc of high oceanic islands clothed in rain forests and surrounded by blue coral-filled seas.|152
AU9|Cape York Peninsula Tropical Savanna|This ecoregion's location and diverse habitats make for a rich biota representing one quarter of Australia’s frogs, one quarter of its reptiles, a third of all mammals, and half of its birds represented.|183
AU9|Queensland Tropical Rainforests|Northeast Australia’s relict tropical rainforests are notable for ancient lineages of plants and animals and strong affinities with the tropical forests of New Guinea to the north.|150
AU9|Brigalow Tropical Savanna|This ecoregion is a transition from wetter coastal forests of eastern Australia to the drier semi-arid and arid zones of the continent’s center.|182
AU8|Victoria Plains Tropical Savanna|The Victoria Plains are a transition zone between the monsoonal rain environments of northern Australia and the dry arid interior of the continent.|189
